title,post_url,ciclo,liturgical_day,liturgical_date_aci,readings,liturgical_readings
Un Dios que no habla de sí mismo y que lo comparte todo (Trinidad santa C 2022),https://diegojavier.wordpress.com/2022/06/11,C,Trinidad santa C 2022,2022-06-11,"Jn 16, 12-15; Mc 13, 11","Primera Lectura
Hechos 11:21-26; 13:1-3
11
21
La mano del Señor estaba con ellos y un gran número creyó y se convirtió al Señor.
22
Llegó esta noticia a oídos de la iglesia que había en Jerusalén, y enviaron a Bernabé a Antioquía.
23
Cuando llegó y vio la gracia de Dios se alegró, y a todos les exhortaba a permanecer en el Señor con un corazón firme,
24
porque era un hombre bueno y lleno del Espíritu Santo y de fe. Y una gran muchedumbre se adhirió al Señor.
25
Marchó Bernabé a Tarso para buscar a Saulo,
26
lo encontró y lo condujo a Antioquía. Estuvieron juntos en aquella iglesia un año entero y adoctrinaron a una gran muchedumbre. Fue en Antioquía donde los discípulos recibieron por primera vez el nombre de cristianos.
13
1
En la iglesia de Antioquía había profetas y maestros: Bernabé y Simón, que era llamado el Negro, Lucio, el de Cirene, y Manahén, hermano de leche del tetrarca Herodes, y Saulo.
2
Mientras celebraban el culto del Señor y ayunaban, dijo el Espíritu Santo:
—Separadme a Bernabé y a Saulo para la obra que les he destinado.
3
Y después de ayunar, orar e imponerles las manos, los despidieron.
Salmo Responsorial
Salmo 98:1-6
1
Salmo.
Cantad al Señor un cántico nuevo
porque ha hecho maravillas.
Su diestra le ha salvado,
su santo brazo.
2
El Señor ha dado a conocer su salvación;
ha revelado su justicia a los ojos de las naciones.
3
Se acordó de su misericordia y fidelidad
con la casa de Israel.
Todos los confines de la tierra han visto
la salvación de nuestro Dios.
4
Aclamad al Señor, la tierra entera;
gritad, cantad, entonad salmos.
5
Entonad salmos al Señor con la cítara,
con la cítara al son de la música;
6
con trompetas y el sonido del cuerno,
aclamad ante el Rey y Señor.
Evangelio
Mateo 10:7-13
7
Id y predicad: «El Reino de los Cielos está al llegar».
8
Curad a los enfermos, resucitad a los muertos, sanad a los leprosos, expulsad los demonios. Gratuitamente lo recibisteis, dadlo gratuitamente.
9
No llevéis oro, ni plata, ni dinero en vuestras bolsas,
10
ni alforja para el camino, ni dos túnicas, ni sandalias, ni bastón, porque el que trabaja merece su sustento.
11
»En cualquier ciudad o aldea en que entréis, informaos sobre quién hay en ella que sea digno; y quedaos allí hasta que os vayáis.
12
Al entrar en una casa dadle vuestro saludo.
13
Si la casa fuera digna, venga vuestra paz sobre ella; pero si no fuera digna, que vuestra paz vuelva a vosotros."
"El Señor quiere compartir la vida de su pueblo, simplemente (Corpus Christi C 2022)",https://diegojavier.wordpress.com/2022/06/18,C,Corpus Christi C 2022,2022-06-18,"Lc 9, 11","Primera Lectura
2 Crónicas 24:17-25
17
Después de la muerte de Yehoyadá, los jefes de Judá vinieron a postrarse ante el rey, y él accedió a todas sus exigencias.
18
Ellos abandonaron el Templo del Señor, Dios de sus padres, para dar culto a las aserás y a los ídolos. Por esta culpa suya, la cólera del Señor se desencadenó sobre Judá y sobre Jerusalén.
19
El Señor envió a sus profetas para intentar que se convirtieran a Él; comunicaron su mensaje, pero no les escucharon.
20
Entonces el espíritu de Dios se apoderó de Zacarías, hijo del sacerdote Yehoyadá, y se levantó en medio del pueblo con este mensaje:
—Esto ha dicho Dios: «¿Por qué violáis los mandamientos del Señor? No tendréis prosperidad. Habéis abandonado al Señor, y Él os abandonará también a vosotros».
21
Pero ellos se conjuraron contra Zacarías y, por orden del rey, lo apedrearon en el atrio del Templo del Señor.
22
El rey Joás no tuvo en cuenta el afecto que le había mostrado Yehoyadá, padre de Zacarías, y mandó matar a su hijo, que antes de morir exclamó:
—¡Que el Señor lo vea y pida cuentas!
23
Al principio del año siguiente subió contra Joás el ejército arameo. Vinieron contra Judá y Jerusalén, exterminaron de entre el pueblo a todos sus jefes y enviaron todo el botín al rey de Damasco.
24
El ejército arameo vino con pocos hombres, pero el Señor puso en sus manos un ejército muy numeroso, porque los de Judá habían abandonado al Señor, Dios de sus padres; así los arameos hicieron justicia con Joás.
25
Cuando se marcharon, dejándolo muy enfermo, los cortesanos del rey hicieron una conspiración para vengar la sangre del hijo del sacerdote Yehoyadá y lo asesinaron en su propio lecho. Lo sepultaron en la ciudad de David, pero no en los sepulcros de los reyes.
Salmo Responsorial
Salmo 89:4-5, 29-34
4
«Una alianza sellé con mi elegido,
juré a David, mi siervo:
5
“Afirmaré tu descendencia para siempre,
construiré tu trono por todas las generaciones”». (Pausa)
29
Le guardaré por siempre mi misericordia,
mi alianza con él será firme.
30
Asentaré su linaje para siempre,
y su trono como los días de los cielos.
31
Si sus hijos abandonan mi Ley
y no caminan según mis normas,
32
si violan mis preceptos
y no guardan mis mandamientos,
33
castigaré con vara sus delitos
y con azotes su culpa.
34
Pero no le retiraré mi gracia,
ni faltaré a mi fidelidad.
Evangelio
Mateo 6:24-34
24
»Nadie puede servir a dos señores, porque o tendrá odio a uno y amor al otro, o prestará su adhesión al primero y menospreciará al segundo: no podéis servir a Dios y a las riquezas.
25
»Por eso os digo: no estéis preocupados por vuestra vida: qué vais a comer; o por vuestro cuerpo: con qué os vais a vestir. ¿Es que no vale más la vida que el alimento, y el cuerpo más que el vestido?
26
Mirad las aves del cielo: no siembran, ni siegan, ni almacenan en graneros, y vuestro Padre celestial las alimenta. ¿Es que no valéis vosotros mucho más que ellas?
27
¿Quién de vosotros, por mucho que cavile, puede añadir un solo codo a su estatura?
28
Y sobre el vestir, ¿por qué os preocupáis? Fijaos en los lirios del campo, cómo crecen; no se fatigan ni hilan,
29
y yo os digo que ni Salomón en toda su gloria pudo vestirse como uno de ellos.
30
Y si a la hierba del campo, que hoy es y mañana se echa al horno, Dios la viste así, ¿cuánto más a vosotros, hombres de poca fe?
31
Así pues, no andéis preocupados diciendo: ¿qué vamos a comer, qué vamos a beber, con qué nos vamos a vestir?
32
Por todas esas cosas se afanan los paganos. Bien sabe vuestro Padre celestial que de todo eso estáis necesitados.
33
»Buscad primero el Reino de Dios y su justicia, y todas estas cosas se os añadirán.
34
Por tanto, no os preocupéis por el mañana, porque el mañana traerá su propia preocupación. A cada día le basta su contrariedad."
El corazón de Jesús y el nuestro ( Sagrado Corazón C 2022 ),https://diegojavier.wordpress.com/2022/06/24,C,Sagrado Corazón C 2022,2022-06-24,,"Primera Lectura
Ezequiel 34:11-16
11
»Porque esto dice el Señor Dios: «Yo mismo buscaré mi rebaño y lo apacentaré.
12
Como recuenta un pastor su rebaño cuando está en medio de sus ovejas que se han dispersado, así recontaré mis ovejas y las recogeré de todos los lugares en que se dispersaron en día de niebla y oscuridad.
13
Las sacaré de entre las naciones, las reuniré de entre los países y las haré entrar en su tierra. Las apacentaré en los montes de Israel, en las vaguadas y en todas las moradas del país.
14
Las apacentaré en buenos pastos. Su aprisco estará en los montes altos de Israel. Descansarán allí en un aprisco bueno y encontrarán abundantes pastos en los montes de Israel.
15
Yo mismo pastorearé mis ovejas y las haré descansar, dice el Señor Dios.
16
Buscaré a la perdida, haré volver a la descarriada, a la que esté herida la vendaré, y curaré a la enferma. Tendré cuidado de la bien nutrida y de la fuerte. Las pastorearé con rectitud».
Salmo Responsorial
Salmo 23:1-6
1
Salmo. De David.
El Señor es mi pastor, nada me falta.
2
En verdes prados me hace reposar;
hacia aguas tranquilas me guía;
3
reconforta mi alma,
me conduce por sendas rectas
por honor de su Nombre.
4
Aunque camine por valles oscuros,
no temo ningún mal, porque Tú estás conmigo;
tu vara y tu cayado me sosiegan.
5
Preparas una mesa para mí
frente a mis adversarios.
Unges con óleo mi cabeza,
mi copa rebosa.
6
Tu bondad y misericordia me acompañan
todos los días de mi vida;
y habitaré en la Casa del Señor
por dilatados días.
Segunda Lectura
Romanos 5:5-11
5
Una esperanza que no defrauda, porque el amor de Dios ha sido derramado en nuestros corazones por medio del Espíritu Santo que se nos ha dado.
6
Porque Cristo, cuando todavía nosotros éramos débiles, murió por los impíos en el tiempo establecido.
7
En realidad, es difícil encontrar alguien que muera por un hombre justo. Quizá alguien se atreva a morir por una persona buena.
8
Pero Dios demuestra su amor hacia nosotros porque, siendo todavía pecadores, Cristo murió por nosotros.
9
¡Cuánto más, si hemos sido justificados ahora en su sangre, seremos salvados por él de la ira!
10
Porque, si cuando éramos enemigos, fuimos reconciliados con Dios por medio de la muerte de su Hijo, mucho más, una vez reconciliados, seremos salvados por su vida.
11
Pero no sólo esto: también nos gloriamos en Dios por medio de nuestro Señor Jesucristo, por quien ahora hemos recibido la reconciliación.
Evangelio
Lucas 15:3-7
3
Entonces les propuso esta parábola:
4
—¿Quién de vosotros, si tiene cien ovejas y pierde una, no deja las noventa y nueve en el campo y sale en busca de la que se perdió hasta encontrarla?
5
Y, cuando la encuentra, la pone sobre sus hombros gozoso,
6
y, al llegar a casa, reúne a los amigos y vecinos y les dice: «Alegraos conmigo, porque he encontrado la oveja que se me perdió».
7
Os digo que, del mismo modo, habrá en el cielo mayor alegría por un pecador que se convierta que por noventa y nueve justos que no tienen necesidad de conversión."
El seguimiento del Señor y la honra (13 C 2022),https://diegojavier.wordpress.com/2022/06/25,C,13 C 2022,2022-06-25,"Juan vi; Lc 9, 51-62","Primera Lectura
Lamentaciones 2:2, 10-14, 18-19
2
(Bet) Destruyó el Señor sin piedad
los pastos de Jacob;
derribó en su furor
las fortalezas de la hija de Judá;
echó por tierra, profanó,
el reino y sus príncipes.
10
(Yod) Se sientan en tierra: están en silencio
los ancianos de la hija de Sión,
se echan ceniza a la cabeza,
se ciñen de saco.
Abajan su cabeza a tierra
las doncellas de Jerusalén.
11
(Kaf) Mis ojos están consumidos por las lágrimas,
me hierven las entrañas,
derramados por tierra mis hígados,
por la ruina de la hija de mi pueblo,
porque niñitos y lactantes desfallecen
en las plazas de la ciudad.
12
(Lámed) Preguntan a sus madres:
«¿Dónde hay pan y vino?»,
mientras desfallecen como malheridos
en las plazas de la ciudad,
y exhalan su espíritu
en el regazo de sus madres.
13
(Mem) ¿Con qué te compararía yo, con qué te asemejaría,
hija de Jerusalén?
¿Con qué te igualaría para consolarte,
doncella, hija de Sión?
Pues grande como el mar es tu quebranto,
¿quién te podrá curar?
14
(Nun) Tus profetas te ofrecieron visiones
vanas y estúpidas,
y no te desvelaron tu iniquidad
para hacerte cambiar,
sino que te ofrecieron visiones
de vaticinios vanos y seductores.
18
(Sade) ¡Clama al Señor con todo el corazón,
por la muralla de la hija de Sión!
Que corran torrentes de lágrimas
día y noche.
No te permitas descanso,
ni tengan tregua las niñas de tus ojos.
19
(Qof) ¡Levántate! Grita en la noche
cuando empiezan los turnos de centinela.
Que tu corazón se derrita como agua
ante la presencia del Señor.
Álzale tus manos
por la vida de tus niñitos,
que desfallecen de hambre
en la esquina de cada calle.
Salmo Responsorial
Salmo 74:1-7, 20-21
1
Masquil. De Asaf.
¿Por qué nos has rechazado para siempre, Dios mío,
se ha encendido tu ira con las ovejas de tu rebaño?
2
Acuérdate de la comunidad que te adquiriste antaño,
la tribu de tu heredad que redimiste,
del monte Sión, en que pusiste tu morada.
3
Alza tus pasos sobre las ruinas perennes:
todo lo ha desolado el enemigo en el Templo.
4
Tus adversarios rugían en medio de tu lugar sagrado;
izaron como insignia sus propias insignias.
5
Se parecían a los que blanden las hachas
subiendo por la espesura del bosque.
6
Destrozaron por completo sus puertas
con hachas y martillos.
7
Prendieron fuego a tu Santuario,
profanaron abatiéndola a tierra la Morada de tu Nombre.
20
Mira la alianza: porque los escondrijos de la tierra
están llenos de cubiles de violencia.
21
Que el oprimido no vuelva avergonzado.
Que el pobre y el desvalido puedan alabar tu Nombre.
Evangelio
Lucas 2:41-51
41
Sus padres iban todos los años a Jerusalén para la fiesta de la Pascua.
42
Y cuando tuvo doce años, subieron a la fiesta, como era costumbre.
43
Pasados aquellos días, al regresar, el niño Jesús se quedó en Jerusalén sin que lo advirtiesen sus padres.
44
Suponiendo que iba en la caravana, hicieron un día de camino buscándolo entre los parientes y conocidos,
45
y al no encontrarlo, volvieron a Jerusalén en su busca.
46
Y al cabo de tres días lo encontraron en el Templo, sentado en medio de los doctores, escuchándoles y preguntándoles.
47
Cuantos le oían quedaban admirados de su sabiduría y de sus respuestas.
48
Al verlo se maravillaron, y le dijo su madre:
—Hijo, ¿por qué nos has hecho esto? Mira que tu padre y yo, angustiados, te buscábamos.
49
Y él les dijo:
—¿Por qué me buscabais? ¿No sabíais que es necesario que yo esté en las cosas de mi Padre?
50
Pero ellos no comprendieron lo que les dijo.
51
Bajó con ellos, vino a Nazaret y les estaba sujeto. Y su madre guardaba todas estas cosas en su corazón."
Los 72 y un reino basado en La Paz (14 C 2022),https://diegojavier.wordpress.com/2022/07/01,C,14 C 2022,2022-07-01,"Lc 10, 1-12; 17-20; Lc 24, 38-41","Primera Lectura
Amós 8:4-6, 9-12
4
»Escuchad esto, los que explotáis al pobre
para acabar con los humildes del país;
5
los que decís: «¿Cuándo pasará la luna nueva
para que vendamos el grano;
y el sábado, para que abramos el mercado del trigo,
achicando las medidas, aumentando el precio,
pesando con balanzas falsas,
6
comprando al desvalido por dinero,
y al pobre por un par de sandalias,
y vendamos hasta el salvado?».
9
»Aquel día
—oráculo del Señor Dios—,
haré ponerse el sol a mediodía,
y oscurecerse la tierra en pleno día.
10
Convertiré vuestras fiestas en duelo,
y todos vuestros cánticos en lamentos;
cubriré de saco toda cintura,
y dejaré rapada toda cabeza.
La pondré como en luto por un hijo único
y su fin será como un día amargo.
11
Mirad que vienen días
—oráculo del Señor Dios—,
en que enviaré hambre al país,
no hambre de pan,
ni sed de agua,
sino de oír las palabras del Señor.
12
Irán errantes de mar a mar,
y vagarán de norte a oriente
en busca de la palabra del Señor,
pero no la encontrarán.
Salmo Responsorial
Salmo 119:2, 10, 20, 30, 40, 131
2
Dichosos los que guardan sus preceptos
y le buscan de todo corazón;
10
Con todo el corazón te busco;
no permitas que me desvíe de tus mandamientos.
20
Mi alma se consume anhelando
de continuo tus leyes.
30
He elegido el camino de la verdad,
me he ajustado a tus normas;
40
Mira cómo anhelo tus mandatos:
haz que viva en tu justicia.
131
Abro la boca y aspiro el aliento,
pues ansío tus mandatos.
Evangelio
Mateo 9:9-13
9
Al marchar Jesús de allí, vio a un hombre sentado al telonio, que se llamaba Mateo, y le dijo:
—Sígueme.
Él se levantó y le siguió.
10
Ya en la casa, estando a la mesa, vinieron muchos publicanos y pecadores y se sentaron también con Jesús y sus discípulos.
11
Los fariseos, al ver esto, empezaron a decir a sus discípulos:
—¿Por qué vuestro maestro come con publicanos y pecadores?
12
Pero él lo oyó y dijo:
—No tienen necesidad de médico los sanos, sino los enfermos.
13
Id y aprended qué sentido tiene: Misericordia quiero y no sacrificio; porque no he venido a llamar a los justos sino a los pecadores."
Pertenencia y oración (Pascua 4 C 2022),https://diegojavier.wordpress.com/2022/05/07,C,Pascua 4 C 2022,2022-05-07,"Jn 10, 27-30
; Rm 8, 36-38","Primera Lectura
Hechos 9:31-42
31
La Iglesia gozaba de paz por toda Judea, Galilea y Samaría. Se consolidaba y caminaba en el temor del Señor y crecía con el consuelo del Espíritu Santo.
32
Mientras recorría Pedro todos los lugares, llegó hasta los santos que vivían en Lida.
33
Encontró allí a un hombre llamado Eneas, que era paralítico y llevaba ocho años postrado en cama.
34
Pedro le dijo:
—¡Eneas!, Cristo Jesús te cura. Levántate y deja listo tu lecho.
Inmediatamente se levantó.
35
Lo vieron todos los que vivían en Lida y Sarón y se convirtieron al Señor.
36
Había en Jope una discípula llamada Tabita —que traducido significa «Gacela»—, que hacía muchísimas buenas obras y limosnas.
37
Aconteció por aquellos días que cayó enferma y murió. Después de lavarla, la colocaron en la estancia superior.
38
Como Lida está cerca de Jope, al oír los discípulos que Pedro se encontraba allí, enviaron a dos hombres para rogarle:
—No tardes en venir junto a nosotros.
39
Pedro se levantó y fue con ellos. En cuanto llegó, le condujeron a la estancia superior y le rodearon todas las viudas, que lloraban y mostraban las túnicas y los mantos que Gacela les había confeccionado cuando vivía con ellas.
40
Pedro hizo salir a todos, se puso de rodillas y oró. Después, vuelto hacia el cuerpo, dijo:
—Tabita, levántate.
Ella abrió los ojos y al ver a Pedro se incorporó.
41
Dándole la mano la levantó, llamó a los santos y a las viudas, y se la presentó con vida.
42
El hecho se supo en toda Jope y muchos creyeron en el Señor.
Salmo Responsorial
Salmo 116:12-17
12
¿Cómo pagaré al Señor
todo el bien que me ha dado?
13
Alzaré la copa de la salvación
e invocaré el Nombre del Señor.
14
Cumpliré al Señor mis votos
en presencia de todo su pueblo.
15
Preciosa es a los ojos del Señor
la muerte de sus fieles.
16
¡Ah, Señor, yo soy tu siervo,
tu siervo soy, el hijo de tu esclava!
Tú has soltado mis cadenas.
17
Te ofreceré un sacrificio de acción de gracias,
e invocaré el Nombre del Señor.
Evangelio
Juan 6:60-69
60
Al oír esto, muchos de sus discípulos dijeron:
—Es dura esta enseñanza, ¿quién puede escucharla?
61
Jesús, conociendo en su interior que sus discípulos estaban murmurando de esto, les dijo:
—¿Esto os escandaliza?
62
Pues, ¿si vierais al Hijo del Hombre subir adonde estaba antes?
63
El espíritu es el que da vida, la carne no sirve de nada: las palabras que os he hablado son espíritu y son vida.
64
Sin embargo, hay algunos de vosotros que no creen.
En efecto, Jesús sabía desde el principio quiénes eran los que no creían y quién era el que le iba a entregar.
65
Y añadía:
—Por eso os he dicho que ninguno puede venir a mí si no se lo ha concedido el Padre.
66
Desde ese momento muchos discípulos se echaron atrás y ya no andaban con él.
67
Entonces Jesús les dijo a los doce:
—¿También vosotros queréis marcharos?
68
Le respondió Simón Pedro:
—Señor, ¿a quién iremos? Tú tienes palabras de vida eterna;
69
nosotros hemos creído y conocido que tú eres el Santo de Dios."
"De corazón, como Yo los he amado (Pascua 5 C 2022)",https://diegojavier.wordpress.com/2022/05/14,C,Pascua 5 C 2022,2022-05-14,"Jn 13, 31-35; Mt
9,2; Mt
15,28; Mc
5,41; Lc
7,50; Mt
14,27","Primera Lectura
Hechos 1:15-17, 20-26
15
En aquellos días Pedro, puesto de pie en medio de los hermanos —se habían reunido allí unas ciento veinte personas—, dijo:
16
—Hermanos, era preciso que se cumpliera la Escritura que el Espíritu Santo predijo por boca de David acerca de Judas, que fue guía de los que prendieron a Jesús,
17
pues se contaba entre nosotros y se le había hecho partícipe de este ministerio.
20
Pues está escrito en el libro de los Salmos:
Que su morada quede desierta
y no haya quien habite en ella.
Y que su cargo lo ocupe otro.
21
»Es necesario, por tanto, que de los hombres que nos han acompañado todo el tiempo que el Señor Jesús vivió con nosotros,
22
empezando desde el bautismo de Juan hasta el día en que fue elevado de entre nosotros, uno de ellos sea constituido con nosotros testigo de su resurrección.
23
Presentaron a dos: a José, llamado Barsabás, por sobrenombre Justo, y a Matías.
24
Y oraron así:
—Tú, Señor, que conoces el corazón de todos, muestra a cuál de estos dos has elegido
25
para ocupar el puesto en este ministerio y apostolado, del que desertó Judas para ir a su destino.
26
Echaron suertes y la suerte recayó sobre Matías, que fue agregado a los once apóstoles.
Salmo Responsorial
Salmo 113:1-8
1
¡Aleluya!
Alabad, siervos del Señor,
alabad el Nombre del Señor.
2
Bendito sea el Nombre del Señor,
ahora y por siempre, sin fin.
3
Desde la salida del sol hasta el ocaso,
alabado sea el Nombre del Señor.
4
Excelso sobre todas las naciones es el Señor,
por encima de los cielos está su gloria.
5
¿Quién como el Señor, nuestro Dios,
que se sienta en las alturas,
6
y se abaja para mirar los cielos y la tierra?
7
Él levanta del polvo al indigente,
y del estiércol hace subir al mísero,
8
para hacerlo sentar entre los príncipes,
entre los príncipes de su pueblo.
Evangelio
Juan 15:9-17
9
»Como el Padre me amó, así os he amado yo. Permaneced en mi amor.
10
Si guardáis mis mandamientos, permaneceréis en mi amor, como yo he guardado los mandamientos de mi Padre y permanezco en su amor.
11
Os he dicho esto para que mi alegría esté en vosotros y vuestra alegría sea completa.
12
Éste es mi mandamiento: que os améis los unos a los otros como yo os he amado.
13
Nadie tiene amor más grande que el de dar uno la vida por sus amigos.
14
Vosotros sois mis amigos si hacéis lo que os mando.
15
Ya no os llamo siervos, porque el siervo no sabe lo que hace su señor; a vosotros, en cambio, os he llamado amigos, porque todo lo que oí de mi Padre os lo he hecho conocer.
16
No me habéis elegido vosotros a mí, sino que yo os he elegido a vosotros, y os he destinado para que vayáis y deis fruto, y vuestro fruto permanezca, para que todo lo que pidáis al Padre en mi nombre os lo conceda.
17
Esto os mando: que os améis los unos a los otros."
Sér fieles es sentir y obrar «de corazón» (Pascua 6 C 2022),https://diegojavier.wordpress.com/2022/05/21,C,Pascua 6 C 2022,2022-05-21,"Jn 14, 23-29","Primera Lectura
Hechos 16:1-10
1
Llegó a Derbe y Listra, donde había un discípulo que se llamaba Timoteo, hijo de mujer judía creyente y de padre griego,
2
que contaba con el testimonio de los hermanos de Listra e Iconio.
3
Pablo quiso que marchara con él. Se lo trajo y le circuncidó a causa de los judíos de aquellos lugares, porque todos sabían que su padre era griego.
4
Conforme atravesaban las ciudades, les entregaban, para que las observasen, las decisiones dictadas por los apóstoles y los presbíteros de Jerusalén.
5
Las iglesias se robustecían en la fe y aumentaban en número día a día.
6
Atravesaron Frigia y la región de Galacia, porque el Espíritu Santo les había impedido predicar la palabra en Asia.
7
Llegados cerca de Misia, intentaron ir a Bitinia, pero el Espíritu de Jesús no se lo permitió.
8
Entonces atravesaron Misia y bajaron hasta Tróade.
9
Esa noche Pablo tuvo una visión: un macedonio estaba de pie y le suplicaba diciendo: «Ven a Macedonia y ayúdanos».
10
En cuanto tuvo la visión, intentamos inmediatamente pasar a Macedonia, convencidos de que Dios nos había llamado para anunciarles el Evangelio.
Salmo Responsorial
Salmo 100:1-3, 5
1
Salmo. De alabanza.
Aclamad al Señor, la tierra entera;
2
servid al Señor con alegría,
entrad a su presencia con júbilo.
3
Sabed que el Señor es Dios:
Él nos hizo y somos suyos,
somos su pueblo y ovejas que Él apacienta.
5
Porque el Señor es bueno:
su misericordia es eterna,
y su fidelidad, por todas las generaciones.
Evangelio
Juan 15:18-21
18
»Si el mundo os odia, sabed que antes que a vosotros me ha odiado a mí.
19
Si fuerais del mundo, el mundo os amaría como cosa suya; pero como no sois del mundo, sino que yo os escogí del mundo, por eso el mundo os odia.
20
Acordaos de las palabras que os he dicho: no es el siervo más que su señor. Si me han perseguido a mí, también a vosotros os perseguirán. Si han guardado mi doctrina, también guardarán la vuestra.
21
Pero os harán todas estas cosas a causa de mi nombre, porque no conocen al que me ha enviado."
Teologías de la ascensión (C 2022),https://diegojavier.wordpress.com/2022/05/28,C,C 2022,2022-05-28,"Lc 24, 46-53","Primera Lectura
Hechos 18:23-28
23
Pasó allí algún tiempo y marchó recorriendo una tras otra las regiones de Galacia y Frigia, confortando a todos los discípulos.
24
Un judío que se llamaba Apolo, de origen alejandrino, hombre elocuente y muy versado en las Escrituras, llegó a Éfeso.
25
Había sido instruido en el Camino del Señor. Hablaba con fervor de espíritu y enseñaba con esmero lo referente a Jesús, aunque sólo conocía el bautismo de Juan.
26
Comenzó a hablar con libertad en la sinagoga. Al oírle Priscila y Aquila le tomaron consigo y le expusieron con más exactitud el camino de Dios.
27
Como deseaba pasar a Acaya, los hermanos le animaron y escribieron a los discípulos para que le recibieran. Cuando llegó fue de gran provecho, con la gracia divina, para los que habían creído,
28
pues refutaba vigorosamente en público a los judíos, demostrando por las Escrituras que Jesús es el Cristo.
Salmo Responsorial
Salmo 47:2-3, 8-10
2
Pueblos todos, batid palmas,
aclamad a Dios con voces de júbilo.
3
Porque el Señor es el Altísimo, temible,
el gran Rey en toda la tierra.
8
Que Dios es el rey de toda la tierra,
cantadle el himno más bello.
9
Dios reina sobre las naciones;
Dios está sentado en su santo trono.
10
Los príncipes de las naciones se unen
al pueblo del Dios de Abrahán,
pues a Dios pertenecen los poderosos de la tierra.
¡Él es el más sublime!
Evangelio
Juan 16:23-28
23
Ese día no me preguntaréis nada. En verdad, en verdad os digo: si le pedís al Padre algo en mi nombre, os lo concederá.
24
Hasta ahora no habéis pedido nada en mi nombre; pedid y recibiréis, para que vuestra alegría sea completa.
25
»Os he dicho todo esto con comparaciones. Llega la hora en que ya no hablaré con comparaciones, sino que claramente os anunciaré las cosas acerca del Padre.
26
Ese día pediréis en mi nombre, y no os digo que yo rogaré al Padre por vosotros,
27
ya que el Padre mismo os ama, porque vosotros me habéis amado y habéis creído que yo salí de Dios.
28
Salí del Padre y vine al mundo; de nuevo dejo el mundo y voy al Padre."
¿Sabías que tienes un corazón ? Un lugar nuevo para el Espíritu que sopla Jesús (Pentecostés C 2022),https://diegojavier.wordpress.com/2022/06/04,C,Pentecostés C 2022,2022-06-04,"Jn 20, 19-23; Jn 3, 8; Jn 4, 23; Jn 14, 3; Jn 17, 24","Primera Lectura
Hechos 28:16-20, 30-31
16
Cuando llegamos a Roma, le fue permitido a Pablo vivir por cuenta propia con un soldado que le custodiara.
17
Tres días después convocó a los principales judíos, y cuando se reunieron les dijo:
—Hermanos, sin haber hecho nada contra el pueblo ni contra las tradiciones de los padres fui apresado en Jerusalén y entregado en manos de los romanos,
18
que después de interrogarme querían ponerme en libertad por no haber en mí ninguna causa de muerte.
19
Y ante la oposición de los judíos, me vi obligado a apelar al César, pero no para acusar de nada a los de mi nación.
20
Por esta razón os he pedido veros y hablaros, pues llevo estas cadenas por la esperanza de Israel.
30
Pablo permaneció dos años completos en el lugar que había alquilado, y recibía a todos los que acudían a él.
31
Predicaba el Reino de Dios y enseñaba lo referente al Señor Jesucristo con toda libertad y sin ningún estorbo.
Salmo Responsorial
Salmo 11:4, 5, 7
4
Pero el Señor está en su Templo santo,
el Señor tiene su trono en los cielos,
sus ojos están observando,
sus pupilas otean a los hijos de los hombres.
5
El Señor examina al justo y al impío,
y aborrece al que ama la violencia.
7
El Señor es justo
y ama la justicia;
los rectos verán su rostro.
Evangelio
Juan 21:20-25
20
Se volvió Pedro y vio que le seguía aquel discípulo que Jesús amaba, el que en la cena se había recostado en su pecho y le había preguntado: «Señor, ¿quién es el que te va a entregar?»
21
Y Pedro, al verle, le dijo a Jesús:
—Señor, ¿y éste qué?
22
Jesús le respondió:
—Si yo quiero que él permanezca hasta que yo vuelva, ¿a ti qué? Tú sígueme.
23
Por eso surgió entre los hermanos el rumor de que aquel discípulo no moriría. Pero Jesús no le dijo que no moriría, sino: «Si yo quiero que él permanezca hasta que yo vuelva, ¿a ti qué?»
24
Éste es el discípulo que da testimonio de estas cosas y las ha escrito, y sabemos que su testimonio es verdadero.
25
Hay, además, otras muchas cosas que hizo Jesús y que, si se escribieran una por una, pienso que ni aun el mundo podría contener los libros que se tendrían que escribir."
